Jurisdiction of Occurrence,Week ,All Cause
New York,18,"1,814"
New York,19,"1,886"
New York,20,"1,877"
New York,21,"1,824"
New York,22,"1,876"
New York,23,"1,813"
New York,24,"1,797"
New York,25,"1,794"
New York,26,"1,880"
New York,27,"2,092"
New York,28,"1,983"
New York,29,"2,093"
New York,30,"1,940"
New York,31,"1,900"
New York,32,"2,010"
New York,33,"2,163"
New York,34,"2,064"
New York,35,"2,187"
New York,36,"2,305"
New York,37,"2,409"
New York,38,"2,639"
New York,39,"2,777"
New York,40,"2,930"
New York,41,"2,925"
New York,42,"3,041"
New York,43,"3,177"
New York,44,"2,962"
New York,45,"2,845"
New York,46,"2,827"
New York,47,"2,506"
New York,48,"2,457"
New York,49,"2,355"
New York,50,"2,195"
New York,51,"2,172"
New York,52,"2,110"
New York,53,"2,117"
New York,54,"1,999"
New York,55,"2,122"
New York,56,"2,018"
New York,57,"2,043"
New York,58,"2,031"
New York,59,"1,962"
New York,60,"1,919"
New York,61,"2,030"
New York,62,"1,899"
New York,63,"1,943"
New York,64,"1,716"
New York,65,"1,678"
New York City,-11,"1,155"
New York City,-10,"1,137"
New York City,-9,"1,129"
New York City,-8,"1,182"
New York City,-7,"1,171"
New York City,-6,"1,173"
New York City,-5,"1,130"
New York City,-4,"1,096"
New York City,-3,"1,110"
New York City,-2,"1,113"
New York City,-1,"1,136"
New York City,0,"1,405"
New York City,1,"2,805"
New York City,2,"6,293"
New York City,3,"7,862"
New York City,4,"5,899"
New York City,5,"4,051"
New York City,6,"2,846"
New York City,7,"2,072"
New York City,8,"1,603"
New York City,9,"1,310"
New York City,10,"1,166"
New York City,11,"1,114"
New York City,12,"1,097"
New York City,13,990
New York City,14,"1,073"
New York City,15,990
New York City,16,"1,027"
New York City,17,969
New York City,18,"1,020"
New York City,19,985
New York City,20,964
New York City,21,987
New York City,22,965
New York City,23,997
New York City,24,971
New York City,25,963
New York City,26,"1,006"
New York City,27,988
New York City,28,968
New York City,29,"1,015"
New York City,30,"1,045"
New York City,31,"1,039"
New York City,32,"1,066"
New York City,33,"1,154"
New York City,34,"1,094"
New York City,35,"1,101"
New York City,36,"1,070"
New York City,37,"1,160"
New York City,38,"1,233"
New York City,39,"1,340"
New York City,40,"1,428"
New York City,41,"1,414"
New York City,42,"1,507"
New York City,43,"1,490"
New York City,44,"1,578"
New York City,45,"1,598"
New York City,46,"1,565"
New York City,47,"1,622"
New York City,48,"1,557"
New York City,49,"1,549"
New York City,50,"1,447"
New York City,51,"1,424"
New York City,52,"1,369"
New York City,53,"1,441"
New York City,54,"1,378"
New York City,55,"1,320"
New York City,56,"1,174"
New York City,57,"1,254"
New York City,58,"1,163"
New York City,59,"1,127"
New York City,60,"1,161"
New York City,61,"1,137"
New York City,62,"1,005"
New York City,63,"1,042"
New York City,64,950
New York City,65,940
North Carolina,-11,"2,003"
North Carolina,-10,"1,984"
North Carolina,-9,"1,903"
North Carolina,-8,"1,994"
North Carolina,-7,"1,983"
North Carolina,-6,"2,053"
North Carolina,-5,"2,060"
North Carolina,-4,"1,925"
North Carolina,-3,"1,972"
North Carolina,-2,"2,032"
North Carolina,-1,"2,025"
North Carolina,0,"2,052"
North Carolina,1,"1,877"
North Carolina,2,"2,024"
North Carolina,3,"2,016"
North Carolina,4,"2,029"
North Carolina,5,"2,104"
North Carolina,6,"1,948"
North Carolina,7,"2,059"
North Carolina,8,"2,039"
North Carolina,9,"2,061"
North Carolina,10,"1,990"
North Carolina,11,"1,967"
North Carolina,12,"1,878"
North Carolina,13,"1,938"
North Carolina,14,"1,946"
North Carolina,15,"2,001"
North Carolina,16,"1,979"
North Carolina,17,"2,027"
North Carolina,18,"2,147"
North Carolina,19,"2,085"
North Carolina,20,"2,061"
North Carolina,21,"2,160"
North Carolina,22,"2,122"
North Carolina,23,"2,070"
North Carolina,24,"2,167"
North Carolina,25,"2,124"
North Carolina,26,"2,260"
North Carolina,27,"2,072"
North Carolina,28,"2,036"
North Carolina,29,"2,116"
North Carolina,30,"2,129"
North Carolina,31,"2,130"
North Carolina,32,"2,159"
North Carolina,33,"2,380"
North Carolina,34,"2,229"
North Carolina,35,"2,168"
North Carolina,36,"2,314"
North Carolina,37,"2,372"
North Carolina,38,"2,457"
North Carolina,39,"2,583"
North Carolina,40,"2,666"
North Carolina,41,"2,823"
North Carolina,42,"2,873"
North Carolina,43,"2,862"
North Carolina,44,"2,791"
North Carolina,45,"2,776"
North Carolina,46,866
North Carolina,47,523
North Carolina,48,510
North Carolina,49,474
North Carolina,50,357
North Carolina,51,409
North Carolina,52,436
North Carolina,53,411
North Carolina,54,425
North Carolina,55,404
North Carolina,56,401
North Carolina,57,419
North Carolina,58,431
North Carolina,59,428
North Carolina,60,445
North Carolina,61,378
North Carolina,62,319
North Carolina,63,368
North Carolina,64,342
North Carolina,65,184
North Dakota,-11,149
North Dakota,-10,151
North Dakota,-9,171
North Dakota,-8,147
North Dakota,-7,130
North Dakota,-6,138
North Dakota,-5,148
North Dakota,-4,176
North Dakota,-3,152
North Dakota,-2,171
North Dakota,-1,148
North Dakota,0,150
North Dakota,1,119
North Dakota,2,140
North Dakota,3,158
North Dakota,4,157
North Dakota,5,158
North Dakota,6,148
North Dakota,7,141
North Dakota,8,153
North Dakota,9,140
North Dakota,10,143
North Dakota,11,161
North Dakota,12,143
North Dakota,13,142
North Dakota,14,131
North Dakota,15,117
North Dakota,16,135
North Dakota,17,134
North Dakota,18,132
North Dakota,19,139
North Dakota,20,154
North Dakota,21,136
North Dakota,22,132
North Dakota,23,141
North Dakota,24,163
North Dakota,25,143
North Dakota,26,165
North Dakota,27,178
North Dakota,28,197
North Dakota,29,239
North Dakota,30,223
North Dakota,31,195
North Dakota,32,246
North Dakota,33,269
North Dakota,34,255
North Dakota,35,273
North Dakota,36,248
North Dakota,37,283
North Dakota,38,231
North Dakota,39,200
North Dakota,40,200
North Dakota,41,163
North Dakota,42,156
North Dakota,43,153
North Dakota,44,140
North Dakota,45,147
North Dakota,46,157
North Dakota,47,119
North Dakota,48,131
North Dakota,49,162
North Dakota,50,154
North Dakota,51,135
North Dakota,52,141
North Dakota,53,144
North Dakota,54,138
North Dakota,55,134
North Dakota,56,144
North Dakota,57,123
North Dakota,58,143
North Dakota,59,131
North Dakota,60,120
North Dakota,61,115
North Dakota,62,51
North Dakota,63,79
North Dakota,64,86
North Dakota,65,72
Ohio,-11,"2,541"
Ohio,-10,"2,616"
Ohio,-9,"2,477"
Ohio,-8,"2,564"
Ohio,-7,"2,493"
Ohio,-6,"2,533"
Ohio,-5,"2,495"
Ohio,-4,"2,527"
Ohio,-3,"2,461"
Ohio,-2,"2,509"
Ohio,-1,"2,555"
Ohio,0,"2,521"
Ohio,1,"2,511"
Ohio,2,"2,572"
Ohio,3,"2,632"
Ohio,4,"2,656"
Ohio,5,"2,835"
Ohio,6,"2,737"
Ohio,7,"2,616"
Ohio,8,"2,685"
Ohio,9,"2,664"
Ohio,10,"2,530"
Ohio,11,"2,597"
Ohio,12,"2,421"
Ohio,13,"2,404"
Ohio,14,"2,429"
Ohio,15,"2,529"
Ohio,16,"2,515"
Ohio,17,"2,537"
Ohio,18,"2,504"
Ohio,19,"2,621"
Ohio,20,"2,584"
Ohio,21,"2,588"
Ohio,22,"2,592"
Ohio,23,"2,650"
Ohio,24,"2,426"
Ohio,25,"2,557"
Ohio,26,"2,485"
Ohio,27,"2,630"
Ohio,28,"2,602"
Ohio,29,"2,665"
Ohio,30,"2,650"
Ohio,31,"2,691"
Ohio,32,"2,763"
Ohio,33,"3,028"
Ohio,34,"3,070"
Ohio,35,"3,256"
Ohio,36,"3,568"
Ohio,37,"3,910"
Ohio,38,"4,230"
Ohio,39,"4,066"
Ohio,40,"3,913"
Ohio,41,"3,903"
Ohio,42,"3,674"
Ohio,43,"3,576"
Ohio,44,"3,278"
Ohio,45,"3,124"
Ohio,46,"3,103"
Ohio,47,"2,945"
Ohio,48,"2,842"
Ohio,49,"2,768"
Ohio,50,"2,566"
Ohio,51,"2,541"
Ohio,52,"2,396"
Ohio,53,"2,477"
Ohio,54,"2,382"
Ohio,55,"2,538"
Ohio,56,"2,400"
Ohio,57,"2,549"
Ohio,58,"2,441"
Ohio,59,"2,371"
Ohio,60,"2,357"
Ohio,61,"2,475"
Ohio,62,"2,255"
Ohio,63,"2,123"
Ohio,64,"1,568"
Ohio,65,860
Oklahoma,-11,901
Oklahoma,-10,823
Oklahoma,-9,850
Oklahoma,-8,803
Oklahoma,-7,833
Oklahoma,-6,816
Oklahoma,-5,806
Oklahoma,-4,818
Oklahoma,-3,829
Oklahoma,-2,799
Oklahoma,-1,792
Oklahoma,0,827
Oklahoma,1,856
Oklahoma,2,784
Oklahoma,3,857
Oklahoma,4,799
Oklahoma,5,780
Oklahoma,6,759
Oklahoma,7,776
Oklahoma,8,733
Oklahoma,9,815
Oklahoma,10,740
Oklahoma,11,789
Oklahoma,12,770
Oklahoma,13,741
Oklahoma,14,765
Oklahoma,15,781
Oklahoma,16,768
Oklahoma,17,794
Oklahoma,18,904
Oklahoma,19,881
Oklahoma,20,814
Oklahoma,21,860
Oklahoma,22,877
Oklahoma,23,814
Oklahoma,24,828
Oklahoma,25,802
Oklahoma,26,793
Oklahoma,27,909
Oklahoma,28,851
Oklahoma,29,970
Oklahoma,30,862
Oklahoma,31,945
Oklahoma,32,"1,025"
Oklahoma,33,"1,028"
Oklahoma,34,"1,065"
Oklahoma,35,"1,148"
Oklahoma,36,"1,148"
Oklahoma,37,"1,321"
Oklahoma,38,"1,212"
Oklahoma,39,"1,281"
Oklahoma,40,"1,272"
Oklahoma,41,"1,337"
Oklahoma,42,"1,257"
Oklahoma,43,"1,299"
Oklahoma,44,"1,304"
Oklahoma,45,"1,167"
Oklahoma,46,"1,051"
Oklahoma,47,984
Oklahoma,48,"1,009"
Oklahoma,49,915
Oklahoma,50,873
Oklahoma,51,837
Oklahoma,52,764
Oklahoma,53,821
Oklahoma,54,771
Oklahoma,55,812
Oklahoma,56,767
Oklahoma,57,760
Oklahoma,58,706
Oklahoma,59,793
Oklahoma,60,731
Oklahoma,61,725
Oklahoma,62,690
Oklahoma,63,646
Oklahoma,64,618
Oklahoma,65,409
Oregon,-11,737
Oregon,-10,764
Oregon,-9,769
Oregon,-8,745
Oregon,-7,728
Oregon,-6,727
Oregon,-5,783
Oregon,-4,733
Oregon,-3,735
Oregon,-2,788
Oregon,-1,746
Oregon,0,775
Oregon,1,768
Oregon,2,778
Oregon,3,769
Oregon,4,765
Oregon,5,770
Oregon,6,714
Oregon,7,703
Oregon,8,716
Oregon,9,744
Oregon,10,748
Oregon,11,683
Oregon,12,727
Oregon,13,731
Oregon,14,689
Oregon,15,760
Oregon,16,713
Oregon,17,759
Oregon,18,740
Oregon,19,719
Oregon,20,768
Oregon,21,777
Oregon,22,789
Oregon,23,749
Oregon,24,707
Oregon,25,737
Oregon,26,790
Oregon,27,730
Oregon,28,733
Oregon,29,761
Oregon,30,713
Oregon,31,763
Oregon,32,782
Oregon,33,835
Oregon,34,838
Oregon,35,835
Oregon,36,880
Oregon,37,936
Oregon,38,941
Oregon,39,979
Oregon,40,878
Oregon,41,904
Oregon,42,885
Oregon,43,888
Oregon,44,852
Oregon,45,835
Oregon,46,835
Oregon,47,791
Oregon,48,812
Oregon,49,799
Oregon,50,791
Oregon,51,778
Oregon,52,822
Oregon,53,799
Oregon,54,807
Oregon,55,778
Oregon,56,736
Oregon,57,783
Oregon,58,764
Oregon,59,760
Oregon,60,785
Oregon,61,777
Oregon,62,691
Oregon,63,660
Oregon,64,537
Oregon,65,324
Pennsylvania,-11,"2,785"
Pennsylvania,-10,"2,849"
Pennsylvania,-9,"2,862"
Pennsylvania,-8,"2,795"
Pennsylvania,-7,"2,810"
Pennsylvania,-6,"2,787"
Pennsylvania,-5,"2,811"
Pennsylvania,-4,"2,704"
Pennsylvania,-3,"2,774"
Pennsylvania,-2,"2,787"
Pennsylvania,-1,"2,833"
Pennsylvania,0,"2,603"
Pennsylvania,1,"2,735"
Pennsylvania,2,"3,004"
Pennsylvania,3,"3,453"
Pennsylvania,4,"3,743"
Pennsylvania,5,"3,823"
Pennsylvania,6,"3,564"
Pennsylvania,7,"3,439"
Pennsylvania,8,"3,284"
Pennsylvania,9,"2,977"
Pennsylvania,10,"2,792"
Pennsylvania,11,"2,730"
Pennsylvania,12,"2,573"
Pennsylvania,13,"2,624"
Pennsylvania,14,"2,561"
Pennsylvania,15,"2,595"
Pennsylvania,16,"2,677"
Pennsylvania,17,"2,560"
Pennsylvania,18,"2,535"
Pennsylvania,19,"2,645"
Pennsylvania,20,"2,540"
Pennsylvania,21,"2,661"
Pennsylvania,22,"2,634"
Pennsylvania,23,"2,589"
Pennsylvania,24,"2,604"
Pennsylvania,25,"2,619"
Pennsylvania,26,"2,618"
Pennsylvania,27,"2,678"
Pennsylvania,28,"2,681"
Pennsylvania,29,"2,769"
Pennsylvania,30,"2,669"
Pennsylvania,31,"2,766"
Pennsylvania,32,"2,758"
Pennsylvania,33,"2,984"
Pennsylvania,34,"3,123"
Pennsylvania,35,"3,355"
Pennsylvania,36,"3,659"
Pennsylvania,37,"3,903"
Pennsylvania,38,"4,355"
Pennsylvania,39,"4,456"
Pennsylvania,40,"4,490"
Pennsylvania,41,"4,423"
Pennsylvania,42,"4,001"
Pennsylvania,43,"3,885"
Pennsylvania,44,"3,844"
Pennsylvania,45,"3,583"
Pennsylvania,46,"3,390"
Pennsylvania,47,"3,228"
Pennsylvania,48,"3,113"
Pennsylvania,49,"2,886"
Pennsylvania,50,"2,756"
Pennsylvania,51,"2,694"
Pennsylvania,52,"2,793"
Pennsylvania,53,"2,682"
Pennsylvania,54,"2,605"
Pennsylvania,55,"2,757"
Pennsylvania,56,"2,825"
Pennsylvania,57,"2,764"
Pennsylvania,58,"2,661"
Pennsylvania,59,"2,701"
Pennsylvania,60,"2,670"
Pennsylvania,61,"2,647"
Pennsylvania,62,"2,480"
Pennsylvania,63,"2,541"
Pennsylvania,64,"2,277"
Pennsylvania,65,"1,954"
Rhode Island,-11,225
Rhode Island,-10,201
Rhode Island,-9,204
Rhode Island,-8,199
Rhode Island,-7,220
Rhode Island,-6,244
Rhode Island,-5,183
Rhode Island,-4,206
Rhode Island,-3,235
Rhode Island,-2,251
Rhode Island,-1,196
Rhode Island,0,220
Rhode Island,1,200
Rhode Island,2,236
Rhode Island,3,246
Rhode Island,4,273
Rhode Island,5,297
Rhode Island,6,332
Rhode Island,7,381
Rhode Island,8,303
Rhode Island,9,279
Rhode Island,10,254
Rhode Island,11,241
Rhode Island,12,209
Rhode Island,13,237
Rhode Island,14,200
Rhode Island,15,177
Rhode Island,16,190
Rhode Island,17,190
Rhode Island,18,173
Rhode Island,19,200
Rhode Island,20,209
Rhode Island,21,211
Rhode Island,22,198
Rhode Island,23,187
Rhode Island,24,207
Rhode Island,25,190
Rhode Island,26,194
Rhode Island,27,208
Rhode Island,28,218
Rhode Island,29,214
Rhode Island,30,214
Rhode Island,31,196
Rhode Island,32,204
Rhode Island,33,228
Rhode Island,34,235
Rhode Island,35,226
Rhode Island,36,268
Rhode Island,37,289
Rhode Island,38,325
Rhode Island,39,329
Rhode Island,40,302
Rhode Island,41,284
Rhode Island,42,295
Rhode Island,43,295
Rhode Island,44,309
Rhode Island,45,263
Rhode Island,46,269
Rhode Island,47,248
Rhode Island,48,222
Rhode Island,49,226
Rhode Island,50,227
Rhode Island,51,240
Rhode Island,52,209
Rhode Island,53,207
Rhode Island,54,194
Rhode Island,55,215
Rhode Island,56,189
Rhode Island,57,196
Rhode Island,58,205
Rhode Island,59,210
Rhode Island,60,236
Rhode Island,61,183
Rhode Island,62,168
Rhode Island,63,148
Rhode Island,64,95
Rhode Island,65,29
South Carolina,-11,"1,085"
South Carolina,-10,"1,081"
South Carolina,-9,"1,048"
South Carolina,-8,"1,033"
South Carolina,-7,"1,032"
South Carolina,-6,"1,096"
South Carolina,-5,"1,003"
South Carolina,-4,"1,035"
South Carolina,-3,"1,044"
South Carolina,-2,"1,133"
South Carolina,-1,"1,103"
South Carolina,0,"1,067"
South Carolina,1,"1,039"
South Carolina,2,"1,048"
South Carolina,3,"1,138"
South Carolina,4,"1,049"
South Carolina,5,"1,023"
South Carolina,6,"1,033"
South Carolina,7,"1,060"
South Carolina,8,"1,110"
South Carolina,9,"1,046"
South Carolina,10,"1,048"
South Carolina,11,"1,037"
South Carolina,12,"1,079"
South Carolina,13,"1,052"
South Carolina,14,"1,099"
South Carolina,15,"1,197"
South Carolina,16,"1,218"
South Carolina,17,"1,335"
South Carolina,18,"1,352"
South Carolina,19,"1,329"
South Carolina,20,"1,368"
South Carolina,21,"1,319"
South Carolina,22,"1,181"
South Carolina,23,"1,240"
South Carolina,24,"1,243"
South Carolina,25,"1,186"
South Carolina,26,"1,142"
South Carolina,27,"1,152"
South Carolina,28,"1,142"
South Carolina,29,"1,133"
South Carolina,30,"1,062"
South Carolina,31,"1,147"
South Carolina,32,"1,225"
South Carolina,33,"1,185"
South Carolina,34,"1,138"
South Carolina,35,"1,192"
South Carolina,36,"1,214"
South Carolina,37,"1,287"
South Carolina,38,"1,281"
South Carolina,39,"1,367"
South Carolina,40,"1,420"
South Carolina,41,"1,496"
South Carolina,42,"1,380"
South Carolina,43,975
South Carolina,44,893
South Carolina,45,"1,554"
South Carolina,46,"1,499"
South Carolina,47,"1,367"
South Carolina,48,"1,248"
South Carolina,49,"1,236"
South Carolina,50,"1,193"
South Carolina,51,"1,164"
South Carolina,52,"1,048"
South Carolina,53,"1,099"
South Carolina,54,990
South Carolina,55,"1,083"
South Carolina,56,943
South Carolina,57,"1,039"
South Carolina,58,"1,084"
South Carolina,59,849
South Carolina,60,973
South Carolina,61,896
South Carolina,62,902
South Carolina,63,512
South Carolina,64,263
South Carolina,65,411
South Dakota,-11,170
South Dakota,-10,170
South Dakota,-9,168
South Dakota,-8,151
South Dakota,-7,162
South Dakota,-6,150
South Dakota,-5,178
South Dakota,-4,177
South Dakota,-3,163
South Dakota,-2,194
South Dakota,-1,166
South Dakota,0,162
South Dakota,1,149
South Dakota,2,170
South Dakota,3,150
South Dakota,4,154
South Dakota,5,176
South Dakota,6,159
South Dakota,7,181
South Dakota,8,147
South Dakota,9,162
South Dakota,10,157
South Dakota,11,147
South Dakota,12,159
South Dakota,13,176
South Dakota,14,163
South Dakota,15,160
South Dakota,16,172
South Dakota,17,158
South Dakota,18,173
South Dakota,19,151
South Dakota,20,187
South Dakota,21,162
South Dakota,22,169
South Dakota,23,189
South Dakota,24,209
South Dakota,25,182
South Dakota,26,181
South Dakota,27,191
South Dakota,28,206
South Dakota,29,215
South Dakota,30,201
South Dakota,31,243
South Dakota,32,243
South Dakota,33,356
South Dakota,34,343
South Dakota,35,335
South Dakota,36,335
South Dakota,37,305
South Dakota,38,283
South Dakota,39,236
South Dakota,40,206
South Dakota,41,211
South Dakota,42,219
South Dakota,43,188
South Dakota,44,189
South Dakota,45,203
South Dakota,46,188
South Dakota,47,180
South Dakota,48,167
South Dakota,49,179
South Dakota,50,168
South Dakota,51,184
South Dakota,52,155
South Dakota,53,165
South Dakota,54,151
South Dakota,55,142
South Dakota,56,171
South Dakota,57,167
South Dakota,58,151
South Dakota,59,168
South Dakota,60,157
South Dakota,61,145
South Dakota,62,127
South Dakota,63,127
South Dakota,64,124
South Dakota,65,76
Tennessee,-11,"1,614"
Tennessee,-10,"1,687"
Tennessee,-9,"1,597"
Tennessee,-8,"1,532"
Tennessee,-7,"1,591"
Tennessee,-6,"1,612"
Tennessee,-5,"1,454"
Tennessee,-4,"1,516"
Tennessee,-3,"1,504"
Tennessee,-2,"1,611"
Tennessee,-1,"1,601"
Tennessee,0,"1,526"
Tennessee,1,"1,528"
Tennessee,2,"1,593"
Tennessee,3,"1,514"
Tennessee,4,"1,541"
Tennessee,5,"1,483"
Tennessee,6,"1,495"
Tennessee,7,"1,492"
Tennessee,8,"1,544"
Tennessee,9,"1,557"
Tennessee,10,"1,467"
Tennessee,11,"1,485"
Tennessee,12,"1,500"
Tennessee,13,"1,570"
Tennessee,14,"1,562"
Tennessee,15,"1,533"
Tennessee,16,"1,634"
Tennessee,17,"1,650"
Tennessee,18,"1,710"
Tennessee,19,"1,713"
Tennessee,20,"1,707"
Tennessee,21,"1,678"
Tennessee,22,"1,687"
Tennessee,23,"1,709"
Tennessee,24,"1,624"
Tennessee,25,"1,727"
Tennessee,26,"1,620"
Tennessee,27,"1,743"
Tennessee,28,"1,732"
Tennessee,29,"1,769"
Tennessee,30,"1,784"
Tennessee,31,"1,788"
Tennessee,32,"1,841"
Tennessee,33,"1,815"
Tennessee,34,"1,935"
Tennessee,35,"2,001"
Tennessee,36,"1,919"
Tennessee,37,"2,200"
Tennessee,38,"2,188"
Tennessee,39,"2,174"
Tennessee,40,"2,361"
Tennessee,41,"2,365"
Tennessee,42,"2,423"
Tennessee,43,"2,305"
Tennessee,44,"2,283"
Tennessee,45,"2,078"
Tennessee,46,"1,943"
Tennessee,47,"1,768"
Tennessee,48,"1,788"
Tennessee,49,"1,745"
Tennessee,50,"1,656"
Tennessee,51,"1,594"
Tennessee,52,"1,566"
Tennessee,53,"1,644"
Tennessee,54,"1,557"
Tennessee,55,"1,678"
Tennessee,56,"1,605"
Tennessee,57,"1,661"
Tennessee,58,"1,621"
Tennessee,59,"1,619"
Tennessee,60,"1,606"
Tennessee,61,"1,512"
Tennessee,62,"1,469"
Tennessee,63,"1,431"
Tennessee,64,"1,421"
Tennessee,65,"1,026"
Texas,-11,"4,325"
Texas,-10,"4,564"
Texas,-9,"4,250"
Texas,-8,"4,128"
Texas,-7,"4,174"
Texas,-6,"4,322"
Texas,-5,"4,343"
Texas,-4,"4,221"
Texas,-3,"4,146"
Texas,-2,"4,172"
Texas,-1,"4,169"
Texas,0,"4,256"
Texas,1,"4,259"
Texas,2,"4,186"
Texas,3,"4,266"
Texas,4,"4,294"
Texas,5,"4,464"
Texas,6,"4,263"
Texas,7,"4,278"
Texas,8,"4,280"
Texas,9,"4,255"
Texas,10,"4,156"
Texas,11,"4,229"
Texas,12,"4,396"
Texas,13,"4,509"
Texas,14,"4,566"
Texas,15,"5,036"
Texas,16,"5,771"
Texas,17,"6,264"
Texas,18,"6,308"
Texas,19,"5,953"
Texas,20,"5,712"
Texas,21,"5,782"
Texas,22,"5,033"
Texas,23,"5,137"
Texas,24,"4,942"
Texas,25,"4,654"
Texas,26,"4,600"
Texas,27,"4,543"
Texas,28,"4,589"
Texas,29,"4,719"
Texas,30,"4,535"
Texas,31,"4,813"
Texas,32,"5,163"
Texas,33,"5,399"
Texas,34,"5,441"
Texas,35,"5,430"
Texas,36,"5,595"
Texas,37,"5,637"
Texas,38,"6,056"
Texas,39,"6,184"
Texas,40,"6,133"
Texas,41,"6,542"
Texas,42,"6,965"
Texas,43,"7,197"
Texas,44,"6,987"
Texas,45,"6,631"
Texas,46,"6,229"
Texas,47,"5,883"
Texas,48,"6,393"
Texas,49,"5,642"
Texas,50,"5,170"
Texas,51,"4,908"
Texas,52,"4,583"
Texas,53,"4,533"
Texas,54,"4,391"
Texas,55,"4,538"
Texas,56,"4,250"
Texas,57,"4,486"
Texas,58,"4,354"
Texas,59,"4,276"
Texas,60,"4,253"
Texas,61,"4,073"
Texas,62,"4,007"
Texas,63,"3,760"
Texas,64,"3,333"
Texas,65,"2,187"
Utah,-11,392
Utah,-10,438
Utah,-9,409
Utah,-8,390
Utah,-7,364
Utah,-6,395
Utah,-5,414
Utah,-4,368
Utah,-3,417
Utah,-2,427
Utah,-1,406
Utah,0,412
Utah,1,395
Utah,2,408
Utah,3,382
Utah,4,388
Utah,5,410
Utah,6,381
Utah,7,372
Utah,8,403
Utah,9,374
Utah,10,390
Utah,11,410
Utah,12,388
Utah,13,402
Utah,14,388
Utah,15,438
Utah,16,407
Utah,17,435
Utah,18,437
Utah,19,435
Utah,20,449
Utah,21,450
Utah,22,422
Utah,23,377
Utah,24,367
Utah,25,382
Utah,26,400
Utah,27,440
Utah,28,393
Utah,29,443
Utah,30,424
Utah,31,442
Utah,32,460
Utah,33,453
Utah,34,482
Utah,35,544
Utah,36,487
Utah,37,538
Utah,38,552
Utah,39,545
Utah,40,502
Utah,41,486
Utah,42,533
Utah,43,484
Utah,44,495
Utah,45,502
Utah,46,466
Utah,47,450
Utah,48,428
Utah,49,379
Utah,50,415
Utah,51,411
Utah,52,395
Utah,53,391
Utah,54,403
Utah,55,379
Utah,56,370
Utah,57,391
Utah,58,427
Utah,59,385
Utah,60,379
Utah,61,404
Utah,62,432
Utah,63,387
Utah,64,377
Utah,65,356
Vermont,-11,92
Vermont,-10,102
Vermont,-9,125
Vermont,-8,119
Vermont,-7,105
Vermont,-6,112
Vermont,-5,126
Vermont,-4,107
Vermont,-3,146
Vermont,-2,137
Vermont,-1,140
Vermont,0,135
Vermont,1,106
Vermont,2,130
Vermont,3,109
Vermont,4,129
Vermont,5,138
Vermont,6,121
Vermont,7,112
Vermont,8,103
Vermont,9,103
Vermont,10,131
Vermont,11,116
Vermont,12,115
Vermont,13,90
Vermont,14,124
Vermont,15,91
Vermont,16,112
Vermont,17,104
Vermont,18,115
Vermont,19,103
Vermont,20,123
Vermont,21,104
Vermont,22,117
Vermont,23,100
Vermont,24,113
Vermont,25,126
Vermont,26,113
Vermont,27,120
Vermont,28,106
Vermont,29,118
Vermont,30,120
Vermont,31,122
Vermont,32,117
Vermont,33,112
Vermont,34,144
Vermont,35,106
Vermont,36,123
Vermont,37,146
Vermont,38,113
Vermont,39,124
Vermont,40,150
Vermont,41,138
Vermont,42,108
Vermont,43,149
Vermont,44,124
Vermont,45,114
Vermont,46,137
Vermont,47,113
Vermont,48,153
Vermont,49,168
Vermont,50,108
Vermont,51,129
Vermont,52,104
Vermont,53,122
Vermont,54,102
Vermont,55,104
Vermont,56,109
Vermont,57,138
Vermont,58,136
Vermont,59,102
Vermont,60,127
Vermont,61,123
Vermont,62,97
Vermont,63,84
Vermont,64,94
Vermont,65,83
Virginia,-11,"1,438"
Virginia,-10,"1,562"
Virginia,-9,"1,466"
Virginia,-8,"1,459"
Virginia,-7,"1,479"
Virginia,-6,"1,524"
Virginia,-5,"1,377"
Virginia,-4,"1,444"
Virginia,-3,"1,388"
Virginia,-2,"1,480"
Virginia,-1,"1,435"
Virginia,0,"1,455"
Virginia,1,"1,517"
Virginia,2,"1,467"
Virginia,3,"1,619"
Virginia,4,"1,602"
Virginia,5,"1,633"
Virginia,6,"1,669"
Virginia,7,"1,593"
Virginia,8,"1,565"
Virginia,9,"1,464"
Virginia,10,"1,443"
Virginia,11,"1,410"
Virginia,12,"1,422"
Virginia,13,"1,292"
Virginia,14,"1,456"
Virginia,15,"1,394"
Virginia,16,"1,488"
Virginia,17,"1,390"
Virginia,18,"1,463"
Virginia,19,"1,455"
Virginia,20,"1,513"
Virginia,21,"1,457"
Virginia,22,"1,454"
Virginia,23,"1,458"
Virginia,24,"1,486"
Virginia,25,"1,469"
Virginia,26,"1,459"
Virginia,27,"1,484"
Virginia,28,"1,516"
Virginia,29,"1,478"
Virginia,30,"1,448"
Virginia,31,"1,496"
Virginia,32,"1,546"
Virginia,33,"1,652"
Virginia,34,"1,513"
Virginia,35,"1,614"
Virginia,36,"1,595"
Virginia,37,"1,629"
Virginia,38,"1,795"
Virginia,39,"1,868"
Virginia,40,"1,901"
Virginia,41,"2,016"
Virginia,42,"2,015"
Virginia,43,"2,064"
Virginia,44,"2,123"
Virginia,45,"1,957"
Virginia,46,"2,002"
Virginia,47,"1,799"
Virginia,48,"1,737"
Virginia,49,"1,708"
Virginia,50,"1,589"
Virginia,51,"1,547"
Virginia,52,"1,523"
Virginia,53,"1,528"
