Jurisdiction of Occurrence,Week ,All Cause
Colorado,39,"1,201"
Colorado,40,"1,100"
Colorado,41,"1,095"
Colorado,42,"1,082"
Colorado,43,"1,007"
Colorado,44,985
Colorado,45,936
Colorado,46,949
Colorado,47,851
Colorado,48,894
Colorado,49,873
Colorado,50,861
Colorado,51,839
Colorado,52,895
Colorado,53,881
Colorado,54,825
Colorado,55,776
Colorado,56,862
Colorado,57,827
Colorado,58,839
Colorado,59,843
Colorado,60,867
Colorado,61,835
Colorado,62,808
Colorado,63,796
Colorado,64,790
Colorado,65,506
Connecticut,-11,633
Connecticut,-10,631
Connecticut,-9,639
Connecticut,-8,653
Connecticut,-7,686
Connecticut,-6,652
Connecticut,-5,635
Connecticut,-4,653
Connecticut,-3,638
Connecticut,-2,625
Connecticut,-1,632
Connecticut,0,665
Connecticut,1,751
Connecticut,2,891
Connecticut,3,"1,260"
Connecticut,4,"1,389"
Connecticut,5,"1,337"
Connecticut,6,"1,165"
Connecticut,7,"1,052"
Connecticut,8,953
Connecticut,9,823
Connecticut,10,759
Connecticut,11,669
Connecticut,12,636
Connecticut,13,581
Connecticut,14,597
Connecticut,15,553
Connecticut,16,610
Connecticut,17,569
Connecticut,18,586
Connecticut,19,555
Connecticut,20,592
Connecticut,21,574
Connecticut,22,571
Connecticut,23,529
Connecticut,24,574
Connecticut,25,571
Connecticut,26,578
Connecticut,27,644
Connecticut,28,623
Connecticut,29,637
Connecticut,30,619
Connecticut,31,683
Connecticut,32,638
Connecticut,33,726
Connecticut,34,685
Connecticut,35,759
Connecticut,36,755
Connecticut,37,843
Connecticut,38,845
Connecticut,39,871
Connecticut,40,921
Connecticut,41,912
Connecticut,42,849
Connecticut,43,856
Connecticut,44,851
Connecticut,45,817
Connecticut,46,770
Connecticut,47,721
Connecticut,48,678
Connecticut,49,670
Connecticut,50,637
Connecticut,51,642
Connecticut,52,633
Connecticut,53,653
Connecticut,54,604
Connecticut,55,561
Connecticut,56,594
Connecticut,57,594
Connecticut,58,598
Connecticut,59,504
Connecticut,60,429
Connecticut,61,437
Connecticut,62,419
Connecticut,63,135
Connecticut,64,47
Connecticut,65,27
Delaware,-11,199
Delaware,-10,194
Delaware,-9,190
Delaware,-8,190
Delaware,-7,183
Delaware,-6,191
Delaware,-5,202
Delaware,-4,194
Delaware,-3,164
Delaware,-2,200
Delaware,-1,189
Delaware,0,221
Delaware,1,188
Delaware,2,214
Delaware,3,219
Delaware,4,229
Delaware,5,285
Delaware,6,251
Delaware,7,271
Delaware,8,276
Delaware,9,222
Delaware,10,226
Delaware,11,182
Delaware,12,200
Delaware,13,162
Delaware,14,201
Delaware,15,201
Delaware,16,194
Delaware,17,191
Delaware,18,201
Delaware,19,195
Delaware,20,197
Delaware,21,189
Delaware,22,194
Delaware,23,190
Delaware,24,208
Delaware,25,198
Delaware,26,161
Delaware,27,202
Delaware,28,202
Delaware,29,203
Delaware,30,203
Delaware,31,215
Delaware,32,195
Delaware,33,199
Delaware,34,172
Delaware,35,232
Delaware,36,199
Delaware,37,231
Delaware,38,277
Delaware,39,281
Delaware,40,289
Delaware,41,285
Delaware,42,276
Delaware,43,287
Delaware,44,280
Delaware,45,266
Delaware,46,261
Delaware,47,233
Delaware,48,204
Delaware,49,212
Delaware,50,217
Delaware,51,168
Delaware,52,205
Delaware,53,192
Delaware,54,133
Delaware,55,153
Delaware,56,169
Delaware,57,169
Delaware,58,171
Delaware,59,163
Delaware,60,175
Delaware,61,167
Delaware,62,152
Delaware,63,116
Delaware,64,54
Delaware,65,65
District of Columbia,-11,132
District of Columbia,-10,128
District of Columbia,-9,140
District of Columbia,-8,131
District of Columbia,-7,143
District of Columbia,-6,131
District of Columbia,-5,122
District of Columbia,-4,104
District of Columbia,-3,135
District of Columbia,-2,118
District of Columbia,-1,114
District of Columbia,0,129
District of Columbia,1,130
District of Columbia,2,156
District of Columbia,3,194
District of Columbia,4,202
District of Columbia,5,242
District of Columbia,6,215
District of Columbia,7,214
District of Columbia,8,185
District of Columbia,9,181
District of Columbia,10,169
District of Columbia,11,149
District of Columbia,12,147
District of Columbia,13,132
District of Columbia,14,130
District of Columbia,15,122
District of Columbia,16,138
District of Columbia,17,121
District of Columbia,18,123
District of Columbia,19,130
District of Columbia,20,118
District of Columbia,21,117
District of Columbia,22,113
