,code,count,week,July 2019 Estimate,normalized_counts,state,deaths
230,GA,2140,30,10617423,0.0002015554998609,Georgia,1923
231,GA,2228,31,10617423,0.0002098437634066,Georgia,1960
232,GA,2610,32,10617423,0.0002458223619799,Georgia,1943
233,GA,2959,33,10617423,0.0002786928617236,Georgia,2016
234,GA,3542,34,10617423,0.0003336026077137,Georgia,2050
235,GA,3274,35,10617423,0.0003083610778246,Georgia,1976
236,GA,2706,36,10617423,0.0002548641040297,Georgia,2067
237,GA,3483,37,10617423,0.0003280457037456,Georgia,2170
238,GA,3710,38,10617423,0.0003494256563009,Georgia,2236
239,GA,3485,39,10617423,0.0003282340733716,Georgia,2417
240,GA,2617,40,10617423,0.000246481655671,Georgia,2377
241,GA,2785,41,10617423,0.0002623047042582,Georgia,2719
242,GA,2039,42,10617423,0.000192042833746,Georgia,2850
243,GA,2231,43,10617423,0.0002101263178456,Georgia,3076
244,GA,2479,44,10617423,0.0002334841514744,Georgia,2931
245,GA,2097,45,10617423,0.0001975055529011,Georgia,2749
246,GA,2064,46,10617423,0.0001943974540714,Georgia,2692
247,GA,1701,47,10617423,0.0001602083669455,Georgia,2355
248,GA,1812,48,10617423,0.0001706628811906,Georgia,2253
249,GA,2025,49,10617423,0.0001907242463637,Georgia,2079
250,OH,957,0,11689100,8.1871144912782e-05,Ohio,2521
251,OH,723,1,11689100,6.185249505949988e-05,Ohio,2511
252,OH,510,2,11689100,4.363039070587128e-05,Ohio,2572
253,OH,317,3,11689100,2.7119282066198424e-05,Ohio,2632
254,OH,1137,4,11689100,9.727010633838362e-05,Ohio,2656
255,OH,1327,5,11689100,0.0001135245656209,Ohio,2835
256,OH,1373,6,11689100,0.000117459855763,Ohio,2737
257,OH,1230,7,11689100,0.0001052262364082,Ohio,2616
258,OH,1959,8,11689100,0.0001675920301819,Ohio,2685
259,OH,1842,9,11689100,0.0001575827052553,Ohio,2664
260,OH,1520,10,11689100,0.0001300356742606,Ohio,2530
261,OH,1404,11,11689100,0.0001201118991196,Ohio,2597
262,OH,1695,12,11689100,0.0001450068867577,Ohio,2421
263,OH,2256,13,11689100,0.0001930003165342,Ohio,2404
264,OH,2558,14,11689100,0.0002188363518149,Ohio,2429
265,OH,2640,15,11689100,0.0002258514342421,Ohio,2529
266,OH,2914,16,11689100,0.0002492920755233,Ohio,2515
267,OH,2602,17,11689100,0.0002226005423856,Ohio,2537
268,OH,2559,18,11689100,0.0002189219016006,Ohio,2504
269,OH,2686,19,11689100,0.0002297867243842,Ohio,2621
270,OH,3333,20,11689100,0.0002851374357307,Ohio,2584
271,OH,2677,21,11689100,0.0002290167763129,Ohio,2588
272,OH,2439,22,11689100,0.0002086559273169,Ohio,2592
273,OH,2276,23,11689100,0.0001947113122481,Ohio,2650
274,OH,1993,24,11689100,0.0001705007228956,Ohio,2426
275,OH,2260,25,11689100,0.0001933425156769,Ohio,2557
276,OH,1968,26,11689100,0.0001683619782532,Ohio,2485
277,OH,1748,27,11689100,0.0001495410253997,Ohio,2630
278,OH,2491,28,11689100,0.0002131045161731,Ohio,2602
279,OH,2266,29,11689100,0.0001938558143911,Ohio,2665
280,OH,2089,30,11689100,0.0001787135023226,Ohio,2650
281,OH,2297,31,11689100,0.0001965078577478,Ohio,2691
282,OH,2838,32,11689100,0.0002427902918103,Ohio,2763
283,OH,3527,33,11689100,0.000301734094156,Ohio,3028
284,OH,4684,34,11689100,0.0004007151962084,Ohio,3070
285,OH,3926,35,11689100,0.0003358684586495,Ohio,3256
286,OH,3333,36,11689100,0.0002851374357307,Ohio,3568
287,OH,3713,37,11689100,0.0003176463542958,Ohio,3910
288,OH,3799,38,11689100,0.0003250036358658,Ohio,4230
289,OH,3217,39,11689100,0.0002752136605897,Ohio,4066
290,OH,2614,40,11689100,0.000223627139814,Ohio,3913
291,OH,2719,41,11689100,0.0002326098673122,Ohio,3903
292,OH,1913,42,11689100,0.0001636567400398,Ohio,3674
293,OH,1964,43,11689100,0.0001680197791104,Ohio,3576
294,OH,2172,44,11689100,0.0001858141345355,Ohio,3278
295,OH,1937,45,11689100,0.0001657099348966,Ohio,3124
296,OH,1767,46,11689100,0.0001511664713279,Ohio,3103
297,OH,1734,47,11689100,0.0001483433283999,Ohio,2945
298,OH,1554,48,11689100,0.0001329443669743,Ohio,2842
299,OH,1756,49,11689100,0.0001502254236853,Ohio,2768
300,PA,955,0,12801989,7.459778320384434e-05,Pennsylvania,2603
301,PA,792,1,12801989,6.1865386698895e-05,Pennsylvania,2735
302,PA,542,2,12801989,4.233717120050642e-05,Pennsylvania,3004
303,PA,331,3,12801989,2.5855357319866467e-05,Pennsylvania,3453
304,PA,1434,4,12801989,0.0001120138440987,Pennsylvania,3743
305,PA,1708,5,12801989,0.0001334167682849,Pennsylvania,3823
306,PA,1638,6,12801989,0.0001279488679454,Pennsylvania,3564
307,PA,1842,7,12801989,0.0001438838917921,Pennsylvania,3439
308,PA,2558,8,12801989,0.0001998127009795,Pennsylvania,3284
309,PA,2597,9,12801989,0.0002028591025972,Pennsylvania,2977
310,PA,2098,10,12801989,0.0001638807844624,Pennsylvania,2792
311,PA,1871,11,12801989,0.0001461491647899,Pennsylvania,2730
312,PA,2338,12,12801989,0.0001826278713409,Pennsylvania,2573
313,PA,2897,13,12801989,0.0002262929611953,Pennsylvania,2624
314,PA,3532,14,12801989,0.0002758946285612,Pennsylvania,2561
315,PA,3204,15,12801989,0.0002502736098273,Pennsylvania,2595
316,PA,3195,16,12801989,0.0002495705940694,Pennsylvania,2677
317,PA,3432,17,12801989,0.0002680833423618,Pennsylvania,2560
318,PA,3222,18,12801989,0.0002516796413432,Pennsylvania,2535
319,PA,3391,19,12801989,0.0002648807150201,Pennsylvania,2645
320,PA,3389,20,12801989,0.0002647244892961,Pennsylvania,2540
321,PA,2952,21,12801989,0.0002305891686049,Pennsylvania,2661
322,PA,2709,22,12801989,0.0002116077431405,Pennsylvania,2634
323,PA,2914,23,12801989,0.0002276208798492,Pennsylvania,2589
324,PA,2789,24,12801989,0.0002178567721,Pennsylvania,2604
325,PA,2990,25,12801989,0.0002335574573607,Pennsylvania,2619
326,PA,2287,26,12801989,0.0001786441153792,Pennsylvania,2618
327,PA,2275,27,12801989,0.0001777067610353,Pennsylvania,2678
328,PA,3772,28,12801989,0.0002946417154396,Pennsylvania,2681
329,PA,2903,29,12801989,0.0002267616383672,Pennsylvania,2769
330,PA,2532,30,12801989,0.0001977817665676,Pennsylvania,2669
331,PA,2911,31,12801989,0.0002273865412632,Pennsylvania,2766
332,PA,3415,32,12801989,0.0002667554237079,Pennsylvania,2758
333,PA,3809,33,12801989,0.0002975318913334,Pennsylvania,2984
334,PA,4887,34,12801989,0.0003817375565624,Pennsylvania,3123
335,PA,4636,35,12801989,0.0003621312282021,Pennsylvania,3355
336,PA,3753,36,12801989,0.0002931575710618,Pennsylvania,3659
337,PA,4740,37,12801989,0.0003702549658494,Pennsylvania,3903
338,PA,4758,38,12801989,0.0003716609973653,Pennsylvania,4355
339,PA,3802,39,12801989,0.0002969851012994,Pennsylvania,4456
340,PA,2698,40,12801989,0.0002107485016586,Pennsylvania,4490
341,PA,2575,41,12801989,0.0002011406196334,Pennsylvania,4423
342,PA,2015,42,12801989,0.000157397416917,Pennsylvania,4001
343,PA,2312,43,12801989,0.000180596936929,Pennsylvania,3885
344,PA,2434,44,12801989,0.0001901267060923,Pennsylvania,3844
345,PA,2414,45,12801989,0.0001885644488524,Pennsylvania,3583
346,PA,2178,46,12801989,0.0001701298134219,Pennsylvania,3390
347,PA,1853,47,12801989,0.000144743133274,Pennsylvania,3228
348,PA,1992,48,12801989,0.0001556008210911,Pennsylvania,3113
349,PA,2291,49,12801989,0.0001789565668272,Pennsylvania,2886
350,IL,925,0,12671821,7.299661193130805e-05,Illinois,2283
351,IL,768,1,12671821,6.060691671702118e-05,Illinois,2304
352,IL,559,2,12671821,4.4113628183352655e-05,Illinois,2622
353,IL,316,3,12671821,2.4937220940857676e-05,Illinois,2870
354,IL,1204,4,12671821,9.50139683949134e-05,Illinois,2912
355,IL,1583,5,12671821,0.0001249228504727,Illinois,3010
356,IL,1535,6,12671821,0.0001211349181779,Illinois,2952
357,IL,1576,7,12671821,0.0001243704436797,Illinois,2962
358,IL,2407,8,12671821,0.0001899490215336,Illinois,2865
359,IL,2318,9,12671821,0.000182925563737,Illinois,2638
360,IL,1817,10,12671821,0.0001433890204099,Illinois,2547
361,IL,1728,11,12671821,0.0001363655626132,Illinois,2511
362,IL,2257,12,12671821,0.0001781117331123,Illinois,2270
363,IL,2691,13,12671821,0.0002123609542779,Illinois,2255
364,IL,2871,14,12671821,0.0002265657003835,Illinois,2133
365,IL,2788,15,12671821,0.0002200157341237,Illinois,2182
366,IL,2940,16,12671821,0.0002320108530573,Illinois,2189
367,IL,2934,17,12671821,0.0002315373615204,Illinois,2087
368,IL,2876,18,12671821,0.0002269602766642,Illinois,2034
369,IL,3062,19,12671821,0.0002416385143066,Illinois,2071
370,IL,3329,20,12671821,0.0002627088876965,Illinois,2138
371,IL,2846,21,12671821,0.00022459281898,Illinois,2126
372,IL,2536,22,12671821,0.0002001290895759,Illinois,2151
373,IL,2632,23,12671821,0.0002077049541656,Illinois,2120
374,IL,2350,24,12671821,0.0001854508519335,Illinois,2198
375,IL,2761,25,12671821,0.0002178850222079,Illinois,2080
376,IL,2095,26,12671821,0.0001653274616173,Illinois,2080
377,IL,1948,27,12671821,0.0001537269189645,Illinois,2295
378,IL,2934,28,12671821,0.0002315373615204,Illinois,2138
379,IL,2422,29,12671821,0.0001911327503758,Illinois,2332
380,IL,2364,30,12671821,0.0001865556655195,Illinois,2281
381,IL,2853,31,12671821,0.0002251452257729,Illinois,2290
382,IL,3142,32,12671821,0.000247951734798,Illinois,2455
383,IL,3342,33,12671821,0.0002637347860264,Illinois,2699
384,IL,4567,34,12671821,0.0003604059748003,Illinois,2905
385,IL,3945,35,12671821,0.00031132068548,Illinois,3186
386,IL,2964,36,12671821,0.0002339048192047,Illinois,3151
